date,source,server,low,q1,md,q3,high
2025-04-01,op-de8a,public,973,11983,18236,27962,46603
2025-04-01,op-de8a-conflux,public,119,17476,29959,41943,69905
2025-04-01,op-hk8a,public,788,4993,6553,8144,12710
2025-04-01,op-hk8a-conflux,public,198,5907,8924,11983,19972
2025-04-01,op-us8a,public,0,0,0,0,0
2025-04-01,op-us8a-conflux,public,586,11650,17476,23301,38130
2025-04-02,op-de8a,public,679,11335,18236,27962,52428
2025-04-02,op-de8a-conflux,public,638,15534,26214,38130,69905
2025-04-02,op-hk8a,public,177,5053,6765,8388,13107
2025-04-02,op-hk8a-conflux,public,233,6657,9754,11983,19972
2025-04-02,op-us8a,public,0,0,0,0,0
2025-04-02,op-us8a-conflux,public,229,11335,16777,22075,38130
2025-04-03,op-de8a,public,332,11983,19065,27962,46603
2025-04-03,op-de8a-conflux,public,534,16131,27962,41943,69905
2025-04-03,op-hk8a,public,155,4793,6355,8065,12710
2025-04-03,op-hk8a-conflux,public,541,5805,8924,11650,19972
2025-04-03,op-us8a,public,0,0,0,0,0
2025-04-03,op-us8a-conflux,public,199,11650,16777,22075,34952
2025-04-04,op-de8a,public,38,12616,19972,27962,46603
2025-04-04,op-de8a-conflux,public,290,18236,29959,46603,83886
2025-04-04,op-hk8a,public,133,4993,6452,8388,13107
2025-04-04,op-hk8a-conflux,public,156,6260,9021,11650,19065
2025-04-04,op-us8a,public,0,0,0,0,0
2025-04-04,op-us8a-conflux,public,177,10895,16131,22075,38130
2025-04-05,op-de8a,public,174,12710,19972,29959,52428
2025-04-05,op-de8a-conflux,public,37,14342,23301,38130,69905
2025-04-05,op-hk8a,public,417,4486,6078,7767,12336
2025-04-05,op-hk8a-conflux,public,125,5573,8224,11413,19972
2025-04-05,op-us8a,public,0,0,0,0,0
2025-04-05,op-us8a-conflux,public,307,10552,16131,22075,38130
2025-04-06,op-de8a,public,140,10230,17476,24672,41943
2025-04-06,op-de8a-conflux,public,113,16131,27962,41943,69905
2025-04-06,op-hk8a,public,149,4877,6452,8388,13530
2025-04-06,op-hk8a-conflux,public,116,5745,8559,11983,20971
2025-04-06,op-us8a,public,0,0,0,0,0
2025-04-06,op-us8a-conflux,public,162,9986,14979,19972,32263
2025-04-07,op-de8a,public,234,9986,16777,24672,46603
2025-04-07,op-de8a-conflux,public,187,17476,26214,41943,69905
2025-04-07,op-hk8a,public,141,4821,6452,8224,13107
2025-04-07,op-hk8a-conflux,public,220,5825,8738,11650,19972
2025-04-07,op-us8a,public,0,0,0,0,0
2025-04-07,op-us8a-conflux,public,89,11335,16777,22075,38130
2025-04-08,op-de8a,public,167,10754,17476,26214,46603
2025-04-08,op-de8a-conflux,public,47,19065,32263,46603,83886
2025-04-08,op-hk8a,public,263,5242,6765,8738,13981
2025-04-08,op-hk8a-conflux,public,317,6765,9754,12710,20971
2025-04-08,op-us8a,public,0,0,0,0,0
2025-04-08,op-us8a-conflux,public,171,11335,16131,22075,38130
2025-04-09,op-de8a,public,159,11037,19065,27962,52428
2025-04-09,op-de8a-conflux,public,159,19972,32263,46603,83886
2025-04-09,op-hk8a,public,513,5115,6765,8738,13981
2025-04-09,op-hk8a-conflux,public,191,6990,10485,13530,23301
2025-04-09,op-us8a,public,0,0,0,0,0
2025-04-09,op-us8a-conflux,public,116,9986,14979,20971,34952
2025-04-10,op-de8a,public,150,10230,16777,26214,46603
2025-04-10,op-de8a-conflux,public,294,17476,29959,46603,83886
2025-04-10,op-hk8a,public,127,4660,6452,8388,13530
2025-04-10,op-hk8a-conflux,public,191,6765,9754,12710,20971
2025-04-10,op-us8a,public,0,0,0,0,0
2025-04-10,op-us8a-conflux,public,148,11335,16777,22075,38130
2025-04-11,op-de8a,public,161,9269,16131,25057,46603
2025-04-11,op-de8a-conflux,public,213,15534,27962,41943,69905
2025-04-11,op-hk8a,public,158,5053,6553,8738,13981
2025-04-11,op-hk8a-conflux,public,135,6990,9532,12336,19972
2025-04-11,op-us8a,public,0,0,0,0,0
2025-04-11,op-us8a-conflux,public,229,10754,16131,22075,38130
2025-04-12,op-de8a,public,307,9373,16131,23301,41943
2025-04-12,op-de8a-conflux,public,479,13981,23301,38130,69905
2025-04-12,op-hk8a,public,176,4660,6553,8559,13981
2025-04-12,op-hk8a-conflux,public,124,6553,9532,12336,20971
2025-04-12,op-us8a,public,0,0,0,0,0
2025-04-12,op-us8a-conflux,public,244,10754,15534,20971,34952
2025-04-13,op-de8a,public,274,7803,13755,22075,41943
2025-04-13,op-de8a-conflux,public,921,10754,19972,34952,69905
2025-04-13,op-hk8a,public,197,4559,6452,8559,14463
2025-04-13,op-hk8a-conflux,public,443,6355,9532,12336,20971
2025-04-13,op-us8a,public,0,0,0,0,0
2025-04-13,op-us8a-conflux,public,243,9118,14463,20971,38130
2025-04-14,op-de8a,public,546,9118,16131,24672,46603
2025-04-14,op-de8a-conflux,public,551,12616,23301,34952,59918
2025-04-14,op-hk8a,public,218,4934,6657,8924,14463
2025-04-14,op-hk8a-conflux,public,150,6452,9532,12336,20971
2025-04-14,op-us8a,public,0,0,0,0,0
2025-04-14,op-us8a-conflux,public,105,9118,14979,20971,38130
2025-04-15,op-de8a,public,235,8224,14979,24672,46603
2025-04-15,op-de8a-conflux,public,585,14979,24672,38130,69905
2025-04-15,op-hk8a,public,139,4032,5825,7767,13107
2025-04-15,op-hk8a-conflux,public,162,5907,8388,11650,19972
2025-04-15,op-us8a,public,0,0,0,0,0
2025-04-15,op-us8a-conflux,public,131,8065,12710,19065,34952
2025-04-16,op-de8a,public,196,8559,14463,23301,41943
2025-04-16,op-de8a-conflux,public,315,13107,22075,34952,59918
2025-04-16,op-hk8a,public,251,4877,6657,8924,14979
2025-04-16,op-hk8a-conflux,public,182,4993,7767,11335,19972
2025-04-16,op-us8a,public,0,0,0,0,0
2025-04-16,op-us8a-conflux,public,162,9532,14979,19972,34952
2025-04-17,op-de8a,public,723,6990,12336,19972,38130
2025-04-17,op-de8a-conflux,public,275,11983,20971,34952,59918
2025-04-17,op-hk8a,public,168,4279,6260,8388,14463
2025-04-17,op-hk8a-conflux,public,201,5825,8559,11492,19972
2025-04-17,op-us8a,public,0,0,0,0,0
2025-04-17,op-us8a-conflux,public,115,7913,13755,19972,34952
2025-04-18,op-de8a,public,231,8738,14979,23301,41943
2025-04-18,op-de8a-conflux,public,95,12336,22075,38130,69905
2025-04-18,op-hk8a,public,251,3744,5745,8065,14463
2025-04-18,op-hk8a-conflux,public,71,4964,8306,11335,19972
2025-04-18,op-us8a,public,0,0,0,0,0
2025-04-18,op-us8a-conflux,public,154,8972,13755,19972,34952
2025-04-19,op-de8a,public,276,8738,15534,23301,41943
2025-04-19,op-de8a-conflux,public,298,13981,24672,38130,69905
2025-04-19,op-hk8a,public,210,4324,6260,8224,13981
2025-04-19,op-hk8a-conflux,public,33,6452,9870,12710,22075
2025-04-19,op-us8a,public,0,0,0,0,0
2025-04-19,op-us8a-conflux,public,471,8738,13981,19972,34952
2025-04-20,op-de8a,public,431,9118,15534,24672,46603
2025-04-20,op-de8a-conflux,public,131,13530,23301,38130,69905
2025-04-20,op-hk8a,public,190,4712,6502,8559,13981
2025-04-20,op-hk8a-conflux,public,17,6875,9754,13107,22075
2025-04-20,op-us8a,public,0,0,0,0,0
2025-04-20,op-us8a-conflux,public,333,9754,14979,19972,34952
2025-04-21,op-de8a,public,74,8738,14979,23301,41943
2025-04-21,op-de8a-conflux,public,266,12710,22075,38130,69905
2025-04-21,op-hk8a,public,258,4510,6553,8559,14463
2025-04-21,op-hk8a-conflux,public,249,5745,8559,11037,18236
2025-04-21,op-us8a,public,0,0,0,0,0
2025-04-21,op-us8a-conflux,public,102,9754,14979,22075,38130
2025-04-22,op-de8a,public,249,6605,12336,20971,41943
2025-04-22,op-de8a-conflux,public,491,11335,19065,29959,52428
2025-04-22,op-hk8a,public,328,3795,5907,7913,13981
2025-04-22,op-hk8a-conflux,public,285,5309,8388,11650,20971
2025-04-22,op-us8a,public,0,0,0,0,0
2025-04-22,op-us8a-conflux,public,192,6990,12159,18236,34952
2025-04-23,op-de8a,public,606,8224,14463,23301,41943
2025-04-23,op-de8a-conflux,public,151,11037,19065,31687,59918
2025-04-23,op-hk8a,public,135,4571,6260,8347,13981
2025-04-23,op-hk8a-conflux,public,200,5447,8738,11983,20971
2025-04-23,op-us8a,public,0,0,0,0,0
2025-04-23,op-us8a-conflux,public,309,7913,12336,18236,32263
2025-04-24,op-de8a,public,468,7358,13107,21523,41943
2025-04-24,op-de8a-conflux,public,187,10230,18236,32263,59918
2025-04-24,op-hk8a,public,247,3495,5592,7767,13981
2025-04-24,op-hk8a-conflux,public,119,5667,8738,12336,22075
2025-04-24,op-us8a,public,0,0,0,0,0
2025-04-24,op-us8a-conflux,public,107,9118,14463,19972,34952
2025-04-25,op-de8a,public,225,7358,12336,19972,38130
2025-04-25,op-de8a-conflux,public,690,11335,19065,32263,59918
2025-04-25,op-hk8a,public,77,3994,6168,8388,14979
2025-04-25,op-hk8a-conflux,public,198,5377,8224,11650,20971
2025-04-25,op-us8a,public,0,0,0,0,0
2025-04-25,op-us8a-conflux,public,121,7626,13107,18236,32263
2025-04-26,op-de8a,public,294,6875,11492,19065,34952
2025-04-26,op-de8a-conflux,public,429,9754,19065,32263,59918
2025-04-26,op-hk8a,public,221,3838,5907,7913,13530
2025-04-26,op-hk8a-conflux,public,238,4863,7626,10754,19065
2025-04-26,op-us8a,public,0,0,0,0,0
2025-04-26,op-us8a-conflux,public,244,8065,12336,18236,32263
2025-04-27,op-de8a,public,344,7626,13530,22075,41943
2025-04-27,op-de8a-conflux,public,541,9118,16777,27962,52428
2025-04-27,op-hk8a,public,51,3410,5115,7231,12710
2025-04-27,op-hk8a-conflux,public,350,5825,8738,11983,20971
2025-04-27,op-us8a,public,0,0,0,0,0
2025-04-27,op-us8a-conflux,public,115,7626,12336,18236,32263
2025-04-28,op-de8a,public,562,7231,12710,19972,38130
2025-04-28,op-de8a-conflux,public,236,11650,20471,32263,59918
2025-04-28,op-hk8a,public,123,4279,6078,8224,13981
2025-04-28,op-hk8a-conflux,public,185,6553,9320,12710,20971
2025-04-28,op-us8a,public,0,0,0,0,0
2025-04-28,op-us8a-conflux,public,173,8388,13107,19065,34952
2025-04-29,op-de8a,public,613,7913,13530,20971,38130
2025-04-29,op-de8a-conflux,public,201,12710,23301,34952,59918
2025-04-29,op-hk8a,public,368,4236,6260,7913,13107
2025-04-29,op-hk8a-conflux,public,327,6260,9320,11983,19972
2025-04-29,op-us8a,public,0,0,0,0,0
2025-04-29,op-us8a-conflux,public,175,8388,13107,19065,34952
2025-04-30,op-de8a,public,518,7326,12710,20971,38130
2025-04-30,op-de8a-conflux,public,617,11650,20971,34952,69905
2025-04-30,op-hk8a,public,166,4236,5991,8065,13530
2025-04-30,op-hk8a-conflux,public,197,6355,9219,12336,20971
2025-04-30,op-us8a,public,0,0,0,0,0
2025-04-30,op-us8a-conflux,public,181,8559,13981,19972,34952
2025-05-01,op-de8a,public,261,8388,14463,22075,41943
2025-05-01,op-de8a-conflux,public,474,11650,19972,32263,59918
2025-05-01,op-hk8a,public,94,4194,6078,7913,13107
2025-05-01,op-hk8a-conflux,public,201,5667,9320,11650,19972
2025-05-01,op-us8a,public,0,0,0,0,0
2025-05-01,op-us8a-conflux,public,125,7767,12336,18236,32263
2025-05-02,op-de8a,public,153,8559,13981,22075,41943
2025-05-02,op-de8a-conflux,public,445,15534,24672,38130,69905
2025-05-02,op-hk8a,public,327,4660,6452,8388,13530
2025-05-02,op-hk8a-conflux,public,235,6355,9320,12710,22075
2025-05-02,op-us8a,public,0,0,0,0,0
2025-05-02,op-us8a-conflux,public,138,9118,13530,19065,32263
2025-05-03,op-de8a,public,242,7489,13530,22075,41943
2025-05-03,op-de8a-conflux,public,241,12710,22075,38130,69905
2025-05-03,op-hk8a,public,104,4369,6452,8559,14463
2025-05-03,op-hk8a-conflux,public,209,5518,8388,11335,19972
2025-05-03,op-us8a,public,0,0,0,0,0
2025-05-03,op-us8a-conflux,public,437,7840,13107,19065,34952
2025-05-04,op-de8a,public,217,3813,8924,18236,38130
2025-05-04,op-de8a-conflux,public,179,5178,12336,24672,52428
2025-05-04,op-hk8a,public,109,2637,5053,7294,13981
2025-05-04,op-hk8a-conflux,public,96,2448,5667,9532,19972
2025-05-04,op-us8a,public,0,0,0,0,0
2025-05-04,op-us8a-conflux,public,143,3615,8738,16131,32263
2025-05-05,op-de8a,public,213,3554,7358,15117,32263
2025-05-05,op-de8a-conflux,public,256,3956,10485,20971,41943
2025-05-05,op-hk8a,public,117,1902,4112,7108,13981
2025-05-05,op-hk8a-conflux,public,84,2186,4934,8065,16777
2025-05-05,op-us8a,public,0,0,0,0,0
2025-05-05,op-us8a-conflux,public,128,2984,6990,12336,26214
2025-05-06,op-de8a,public,135,3295,7989,14979,32263
2025-05-06,op-de8a-conflux,public,145,4415,9986,19972,41943
2025-05-06,op-hk8a,public,79,1773,3901,6452,12710
2025-05-06,op-hk8a-conflux,public,132,2369,5825,9118,19065
2025-05-06,op-us8a,public,0,0,0,0,0
2025-05-06,op-us8a-conflux,public,124,4510,9320,14979,29959
2025-05-07,op-de8a,public,172,6403,11335,19065,34952
2025-05-07,op-de8a-conflux,public,417,6657,12710,23301,46603
2025-05-07,op-hk8a,public,133,3576,5447,7489,13107
2025-05-07,op-hk8a-conflux,public,302,5053,8065,11335,19972
2025-05-07,op-us8a,public,0,0,0,0,0
2025-05-07,op-us8a-conflux,public,247,6553,11335,18236,34952
2025-05-08,op-de8a,public,147,3847,7626,14463,29959
2025-05-08,op-de8a-conflux,public,263,5667,10230,19972,38130
2025-05-08,op-hk8a,public,164,2511,4279,6355,11983
2025-05-08,op-hk8a-conflux,public,659,4042,6875,10230,19065
2025-05-08,op-us8a,public,0,0,0,0,0
2025-05-08,op-us8a-conflux,public,97,4194,8388,14979,29959
2025-05-09,op-de8a,public,99,2066,4462,9320,19972
2025-05-09,op-de8a-conflux,public,352,3761,7108,13530,27962
2025-05-09,op-hk8a,public,109,1632,2912,4934,9532
2025-05-09,op-hk8a-conflux,public,302,2979,5210,7876,14979
2025-05-09,op-us8a,public,0,0,0,0,0
2025-05-09,op-us8a-conflux,public,256,2902,5242,9320,18236
2025-05-10,op-de8a,public,83,3396,7358,13981,27962
2025-05-10,op-de8a-conflux,public,188,4793,8388,16131,32263
2025-05-10,op-hk8a,public,121,2269,4236,6355,12336
2025-05-10,op-hk8a-conflux,public,232,3919,6355,9754,18236
2025-05-10,op-us8a,public,0,0,0,0,0
2025-05-10,op-us8a-conflux,public,68,3584,6990,12336,24672
2025-05-11,op-de8a,public,189,2974,6078,11037,22075
2025-05-11,op-de8a-conflux,public,333,4609,8924,16777,34952
2025-05-11,op-hk8a,public,125,2304,4112,6123,11650
2025-05-11,op-hk8a-conflux,public,131,3719,6214,9320,17476
2025-05-11,op-us8a,public,0,0,0,0,0
2025-05-11,op-us8a-conflux,public,156,3956,7358,12336,24672
2025-05-12,op-de8a,public,198,2933,6034,11335,23301
2025-05-12,op-de8a-conflux,public,181,5706,10230,19972,38130
2025-05-12,op-hk8a,public,197,2317,3956,5825,11037
2025-05-12,op-hk8a-conflux,public,174,3928,6657,9986,19065
2025-05-12,op-us8a,public,0,0,0,0,0
2025-05-12,op-us8a-conflux,public,185,4236,7423,11650,22075
2025-05-13,op-de8a,public,430,3956,7108,12336,24672
2025-05-13,op-de8a-conflux,public,128,5242,9754,18236,34952
2025-05-13,op-hk8a,public,230,2379,4369,6452,12336
2025-05-13,op-hk8a-conflux,public,120,3711,6452,9532,18236
2025-05-13,op-us8a,public,0,0,0,0,0
2025-05-13,op-us8a-conflux,public,648,4963,8559,14463,27962
2025-05-14,op-de8a,public,257,4152,8065,14979,29959
2025-05-14,op-de8a-conflux,public,445,6765,11983,20971,41943
2025-05-14,op-hk8a,public,145,2833,4462,6452,11650
2025-05-14,op-hk8a-conflux,public,166,4279,6875,9870,18236
2025-05-14,op-us8a,public,0,0,0,0,0
2025-05-14,op-us8a-conflux,public,355,5592,9320,14979,27962
2025-05-15,op-de8a,public,202,4510,8306,14463,27962
2025-05-15,op-de8a-conflux,public,318,7358,12710,20971,38130
2025-05-15,op-hk8a,public,196,3226,4993,7108,12336
2025-05-15,op-hk8a-conflux,public,139,4821,7231,10485,18236
2025-05-15,op-us8a,public,101,4022,6657,9754,18236
2025-05-15,op-us8a-conflux,public,125,6168,10485,15981,29959
2025-05-16,op-de8a,public,165,6168,10754,18236,34952
2025-05-16,op-de8a-conflux,public,47,9587,16131,26214,46603
2025-05-16,op-hk8a,public,378,3778,5592,7626,13107
2025-05-16,op-hk8a-conflux,public,193,5309,7913,11037,19065
2025-05-16,op-us8a,public,142,4766,7489,10485,18236
2025-05-16,op-us8a-conflux,public,222,7913,12336,18236,32263
2025-05-17,op-de8a,public,59,7358,12710,19972,38130
2025-05-17,op-de8a-conflux,public,580,9754,17476,29959,59918
2025-05-17,op-hk8a,public,250,4369,6168,8065,13530
2025-05-17,op-hk8a-conflux,public,448,6168,8738,11650,19065
2025-05-17,op-us8a,public,240,5667,8924,11983,20971
2025-05-17,op-us8a-conflux,public,183,9118,13981,19065,32263
2025-05-18,op-de8a,public,286,7108,13107,20971,38130
2025-05-18,op-de8a-conflux,public,535,9754,19065,32263,59918
2025-05-18,op-hk8a,public,160,4152,5991,8065,13107
2025-05-18,op-hk8a-conflux,public,203,5745,9118,12336,22075
2025-05-18,op-us8a,public,227,5178,8559,11650,20971
2025-05-18,op-us8a-conflux,public,450,7913,13107,18443,32263
2025-05-19,op-de8a,public,262,6605,11650,19065,34952
2025-05-19,op-de8a-conflux,public,1302,9754,16131,27962,52428
2025-05-19,op-hk8a,public,199,3984,5991,7913,13530
2025-05-19,op-hk8a-conflux,public,170,5686,8924,12336,22075
2025-05-19,op-us8a,public,300,5412,8924,12710,23301
2025-05-19,op-us8a-conflux,public,391,8516,13530,19065,32263
2025-05-20,op-de8a,public,263,5886,11650,19972,38130
2025-05-20,op-de8a-conflux,public,424,9532,16777,27962,52428
2025-05-20,op-hk8a,public,133,3956,5991,7913,13530
2025-05-20,op-hk8a-conflux,public,199,5447,8559,11335,19972
2025-05-20,op-us8a,public,140,6260,9320,13107,23301
